speed,car_age,experience,risk
174,17,12.12203762,27
195,6,2.133985002,51
146,7,17.0145492,50
207,14,14.91949051,47
97,13,8.170365859,43
104,8,18.65876134,26
137,9,4.100036201,34
146,18,7.584571699,85
183,27,18.52898847,96
103,26,14.43193102,95
193,2,0.961892879,94
111,5,15.63028964,36
165,29,16.55881774,66
206,5,15.0100385,40
209,6,15.99074262,15
96,19,16.50265353,49
183,8,3.728099736,21
216,16,4.713834921,62
122,13,12.67517127,80
118,1,18.15732261,19
105,22,6.323931646,54
178,20,11.76613352,26
129,17,13.65964127,35
92,7,9.038972026,94
139,25,14.2756491,71
214,13,17.99334891,55
136,4,12.48203088,73
99,6,8.774893508,63
144,28,11.54972542,74
87,19,7.107249036,60
194,29,7.829642204,62
171,12,10.63714959,45
177,22,1.332382248,35
145,7,4.580507818,38
111,27,10.85698621,30
165,10,8.630562863,20
130,26,6.656315718,49
142,19,14.61098274,20
204,7,13.87435215,45
137,3,3.3346152,68
